place,team,total_points,100,200,400,800,1500,3000SC,5000,10000,110H,400H,4x1R,4x4R,HJ,PV,LJ,TJ,SP,DT,HT,JT,Dec,year,season
70,Weber State,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2023,Outdoor
70,Wichita State,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2023,Outdoor
70,Wyoming,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2023,Outdoor
1,Florida,41.0,3.0,8.0,8.0,,0.0,,,,,,5.0,6.0,,,6.0,1.0,,4.0,0.0,0.0,,2024,Outdoor
2,Auburn,40.0,14.0,4.0,,,,,,,8.0,,10.0,,,,,,0.0,,,4.0,0.0,2024,Outdoor
3,USC,33.0,0.0,0.0,5.0,,,,,,0.0,,0.0,1.0,0.0,,15.0,0.0,,8.0,4.0,0.0,,2024,Outdoor
4,Alabama,32.0,,5.0,8.0,0.0,,,,8.0,,11.0,0.0,0.0,,,,,,,,,,2024,Outdoor
5,Texas A&M,31.0,,,0.0,10.0,,0.0,,,6.0,5.0,,10.0,,,,,,,,0.0,,2024,Outdoor
6,Houston,30.5,12.0,3.0,,,,,,,4.0,,6.0,,0.0,5.5,,0.0,,,,,,2024,Outdoor
7,Arkansas,30.0,0.0,1.0,0.0,,,,,1.0,0.0,,,8.0,10.0,,4.0,,,,,,6.0,2024,Outdoor
8,Virginia,26.0,,,,10.0,3.0,10.0,,0.0,,,,,,,,,,3.0,0.0,,,2024,Outdoor
9,Georgia,25.0,0.0,,10.0,,,,,,,,0.0,,2.0,0.0,,,3.0,,,10.0,,2024,Outdoor
10,Miami (Fla.),22.0,,,0.0,,,,,,,,,,0.0,,,8.0,,2.0,,6.0,6.0,2024,Outdoor
10,Kansas,22.0,,,,,,,0.0,4.0,,,,,4.0,8.0,0.0,,,6.0,,,0.0,2024,Outdoor
12,Texas,20.0,0.0,0.0,0.0,3.0,,,,,,0.0,4.0,3.0,,,,0.0,0.0,0.0,0.0,,10.0,2024,Outdoor
13,Texas Tech,19.0,,,0.0,,,,,5.0,,14.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,2024,Outdoor
13,Nebraska,19.0,,0.0,,,,,,,10.0,,,,8.0,,,0.0,1.0,,,0.0,,2024,Outdoor
15,Washington,18.2,,,,,10.0,,,,,0.0,,,,0.2,0.0,,,,,8.0,0.0,2024,Outdoor
16,Harvard,17.0,,,,,,,4.0,,,,,0.0,5.0,,,,,,8.0,,,2024,Outdoor
16,LSU,17.0,5.0,,0.0,,,,,,1.0,1.0,8.0,2.0,0.0,,,,0.0,,,0.0,,2024,Outdoor
18,Iowa State,16.0,,,,6.0,2.0,6.0,0.0,2.0,,,,,,,,,0.0,0.0,,,,2024,Outdoor
19,Florida State,15.0,,,,,,,0.0,,0.0,,,,,,8.0,7.0,,,,,,2024,Outdoor
20,Kentucky,14.0,,0.0,,,,,,,,,0.0,,,10.0,,4.0,,,,,,2024,Outdoor
20,Ole Miss,14.0,,,,,,,2.0,,0.0,,,,,,,0.0,10.0,,2.0,,,2024,Outdoor
20,Wisconsin,14.0,,,,0.0,6.0,,0.0,,0.0,,,,,,,,8.0,,,,,2024,Outdoor
23,Northern Arizona,13.0,,,,,5.0,,8.0,0.0,,,,,,,,,,,,,,2024,Outdoor
23,New Mexico,13.0,,,,,,,3.0,10.0,,,,,,,,,,,,,,2024,Outdoor
25,California,12.5,0.0,,,,,,,,,,0.0,,,2.5,,,0.0,,10.0,,,2024,Outdoor
26,South Florida,12.0,4.0,6.0,,,,,,,,0.0,0.0,0.0,,,2.0,,,,,,,2024,Outdoor
27,Baylor,11.0,0.0,0.0,,,,,,,,6.0,0.0,0.0,,,,,,,,5.0,,2024,Outdoor
27,Miss State,11.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,3.0,8.0,2024,Outdoor
27,Oklahoma State,11.0,,,,0.0,0.0,0.0,5.0,6.0,,,,0.0,,,,,,,,,,2024,Outdoor
27,Oregon,11.0,0.0,,,,8.0,,,,,,,,,,,,,,,,3.0,2024,Outdoor
31,South Alabama,10.2,,,,,,,,,,,,,0.0,0.2,,,,10.0,,,,2024,Outdoor
32,Penn State,10.0,,10.0,,0.0,,,,,,,,0.0,,,,,,,,,,2024,Outdoor
32,FDU,10.0,,,,,,,,,,,,,,,,10.0,,,,,,2024,Outdoor
32,Georgetown,10.0,,,,0.0,,10.0,,,,,,,,,,,,,,,,2024,Outdoor
32,North Carolina,10.0,,,,,0.0,,10.0,0.0,,0.0,,,,,,,,,,,,2024,Outdoor
32,Oklahoma,10.0,,,,,,,,,,,,,3.0,,1.0,6.0,0.0,,0.0,,,2024,Outdoor
37,Clemson,9.0,,,0.0,5.0,,,,,,,,,,,,,4.0,,,0.0,,2024,Outdoor
37,Minnesota,9.0,,0.0,,,,,,,,,,,,,3.0,,,,6.0,,,2024,Outdoor
37,Tennessee,9.0,0.0,,3.0,,,,0.0,,,2.0,0.0,4.0,0.0,,,,,0.0,,0.0,,2024,Outdoor
40,BYU,7.0,,,,0.0,,0.0,0.0,,,,,0.0,,,,,5.0,1.0,,1.0,,2024,Outdoor
40,South Carolina,7.0,0.0,0.0,,,1.0,,,,,,,,0.0,,0.0,,6.0,,,,,2024,Outdoor
42,Arizona State,6.0,,,1.0,0.0,,,,,,,,5.0,,,,,0.0,,,,,2024,Outdoor
42,Illinois,6.0,,,,,,,,,,0.0,,,0.0,4.0,,0.0,2.0,,,,0.0,2024,Outdoor
42,Stanford,6.0,,,,,,,6.0,,,,,,,,,,,,,,,2024,Outdoor
42,Arkansas-Pine Bluff,6.0,,,,,,,,,,,,,6.0,,,,,,,,,2024,Outdoor
46,Duke,5.5,,,,,,,,,,,,,,5.5,0.0,,,,0.0,,,2024,Outdoor
47,Virginia Tech,5.2,,,4.0,1.0,,,,,,,,0.0,0.0,0.2,,0.0,,,,,0.0,2024,Outdoor
48,San Jose St.,5.0,0.0,,0.0,,,,,,5.0,,0.0,,,,,,,,,,,2024,Outdoor
48,Eastern Kentucky,5.0,,,,,,5.0,,0.0,,,,,,,,,,,,,,2024,Outdoor
48,Grand Canyon,5.0,,,,,,,,,,,,,,0.0,,,,,5.0,,0.0,2024,Outdoor
48,Missouri,5.0,,,,,,,,,,,,,,,,0.0,,5.0,,,,2024,Outdoor
52,Iona,4.0,,,,,4.0,,,,,,,,,,,,,,,,,2024,Outdoor
52,Notre Dame,4.0,,,,,,4.0,,0.0,,,,,,,,,0.0,,,,,2024,Outdoor
52,UT-Arlington,4.0,,,,,,,,,,,,,,0.0,,,,,,,4.0,2024,Outdoor
52,Villanova,4.0,,,,4.0,0.0,,0.0,,,,,,,,,,,,,,,2024,Outdoor
56,CSUN,3.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,3.0,,,2024,Outdoor
56,Howard,3.0,,,,,,,,,3.0,0.0,,,,,,,,,,,,2024,Outdoor
56,Purdue,3.0,,0.0,,,,,,,,,,0.0,,,,3.0,,0.0,,,,2024,Outdoor
56,Louisville,3.0,,,,,,,,3.0,,,,,0.0,,0.0,,,,,,,2024,Outdoor
56,Portland,3.0,,,,,,3.0,,,,,,,,,,,,,,,,2024,Outdoor
61,Penn,2.5,,,,,,,,,,0.0,,,,2.5,,,,,,,,2024,Outdoor
62,Alabama State,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,2024,Outdoor
62,Iowa,2.0,,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,2024,Outdoor
62,Northern Colorado,2.0,,,,,,,,,2.0,,,,,,,,,,,,,2024,Outdoor
62,Washington St.,2.0,,,,,,,,,,,,,,,,,,,,,2.0,2024,Outdoor
66,Northwestern St.,1.0,1.0,,,,,,,,,,0.0,,,,,,,0.0,,,,2024,Outdoor
66,Butler,1.0,,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,2024,Outdoor
66,Northeastern,1.0,,,,,,1.0,,,,,,,,,,,,,,,,2024,Outdoor
66,SE Missouri,1.0,,,,,,,,,,,,,,,,,,,1.0,,,2024,Outdoor
66,Wichita State,1.0,,,,,,,,,,,,,1.0,,,,,,,,,2024,Outdoor
71,South Dakota,0.4,,,,,,,,,,,,,0.0,0.4,,,,,,,,2024,Outdoor
72,Arizona,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,2024,Outdoor
72,Campbell,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,2024,Outdoor
72,Central Arkansas,0.0,,,,,,,,,,,0.0,,,,,,,,,,,2024,Outdoor
72,Charlotte,0.0,,,,,,,0.0,,,,,,,,,,,,,,,2024,Outdoor
72,Colorado,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2024,Outdoor
72,Kansas State,0.0,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,2024,Outdoor
72,Louisiana,0.0,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,2024,Outdoor
72,N. Carolina A&T,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,2024,Outdoor
72,Ohio State,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,2024,Outdoor
72,Pittsburgh,0.0,,,,,,,,,,,,0.0,,,,,,,,,,2024,Outdoor
72,TCU,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,2024,Outdoor
72,Texas State,0.0,,,,,,,,,,,0.0,,,,,,,,,,,2024,Outdoor
72,UCLA,0.0,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,,2024,Outdoor
72,UTEP,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,2024,Outdoor
72,UTSA,0.0,,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,2024,Outdoor
72,Air Force,0.0,,,,,,,,,,0.0,,,,,,,,,,,,2024,Outdoor
72,Army West Point,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2024,Outdoor
72,Boston College,0.0,,,,,0.0,,,,,,,,,,,,,,,,,2024,Outdoor
72,CBU,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2024,Outdoor
72,Cincinnati,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2024,Outdoor
72,Colorado St.,0.0,,,,,,,,,,,,,,,,,0.0,,,,,2024,Outdoor
72,Columbia,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2024,Outdoor
72,Connecticut,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,2024,Outdoor
72,Cornell,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,2024,Outdoor
72,Davidson,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2024,Outdoor
72,DePaul,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2024,Outdoor
72,Drake,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,2024,Outdoor
72,Eastern Illinois,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2024,Outdoor
72,Furman,0.0,,,,,,,0.0,,,,,,,,,,,,,,,2024,Outdoor
72,George Mason,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2024,Outdoor
72,Gonzaga,0.0,,,,,,,0.0,,,,,,,,,,,,,,,2024,Outdoor
72,Grambling,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2024,Outdoor
72,High Point,0.0,,,,,,,,,,,,,,,,,0.0,,,,,2024,Outdoor
72,Houston Christian,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2024,Outdoor
72,Illinois State,0.0,,,,,,,,,,,,,,,,,0.0,,,,,2024,Outdoor
72,Incarnate Word,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2024,Outdoor
72,Indiana,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,2024,Outdoor
72,Indiana State,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2024,Outdoor
72,Lamar,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2024,Outdoor
72,Liberty,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,2024,Outdoor
72,Long Beach St.,0.0,,,,,,,,,,0.0,,,,,,,,,,,,2024,Outdoor
72,Manhattan,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2024,Outdoor
72,Maryland-Eastern Shore,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2024,Outdoor
72,Michigan,0.0,,,,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,2024,Outdoor
72,Michigan State,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2024,Outdoor
72,Montana,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2024,Outdoor
72,Montana State,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2024,Outdoor
72,Navy,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,2024,Outdoor
72,NC State,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2024,Outdoor
72,New Orleans,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2024,Outdoor
72,North Dakota,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2024,Outdoor
72,North Dakota State,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2024,Outdoor
72,Princeton,0.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,2024,Outdoor
72,Rice,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,2024,Outdoor
72,Rutgers,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,2024,Outdoor
72,Southern Utah,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2024,Outdoor
72,Stony Brook,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2024,Outdoor
72,Syracuse,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,2024,Outdoor
72,Tulane,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2024,Outdoor
72,UC Irvine,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2024,Outdoor
72,Utah State,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2024,Outdoor
72,Wake Forest,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,2024,Outdoor
72,Weber State,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2024,Outdoor
72,Western Illinois,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2024,Outdoor
72,Youngstown St.,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2024,Outdoor
