place,team_w,total_points,60,200,400,800,1Mile,3000,5000,60H,4x4R,DMR,HJ,PV,LJ,TJ,SP,WT,Pent,year,season
55,Kansas,0.0,,,,,,,,,,,,0.0,,,,,,2024,Indoor
55,Kentucky,0.0,,,,,,,,,,,0.0,,,,,,0.0,2024,Indoor
55,Missouri,0.0,0.0,,,,,,,,,,,,,,,,,2024,Indoor
55,North Dakota,0.0,,,,,,,,,,,,,,,,0.0,,2024,Indoor
55,North Texas,0.0,,,,,,,,,,,,,,,0.0,,,2024,Indoor
55,Ohio State,0.0,0.0,,,,,,,,,,,,,,,,,2024,Indoor
55,Oregon State,0.0,,,,,,0.0,,,,,,,,,,,,2024,Indoor
55,Pittsburgh,0.0,,,,,,,,,,,,,,,,0.0,0.0,2024,Indoor
55,Portland,0.0,,,,,0.0,,,,,,,,,,,,,2024,Indoor
55,Princeton,0.0,,,,,,,,,,,,0.0,,,,,,2024,Indoor
55,San Diego St.,0.0,,,,,,,,,,,,,,0.0,,,,2024,Indoor
55,SMU,0.0,,,,,,,,,,,,,0.0,,,,,2024,Indoor
55,South Dakota,0.0,,,,,,,,,,,,0.0,,,,,,2024,Indoor
55,TCU,0.0,,0.0,,,,,,,,,,,,,,,,2024,Indoor
55,UCF,0.0,,,,,,,,0.0,,,,,,,,,,2024,Indoor
55,UMass Lowell,0.0,,,,,,,0.0,,,,,,,,,,,2024,Indoor
55,UTEP,0.0,,0.0,,,,,,0.0,,,,,,,,,,2024,Indoor
55,Washington St.,0.0,,,,,,,,,,,,0.0,,,,,,2024,Indoor
